Q221310,penyanyi-penulis lagu Indonesia-Prancis
Q1362169,penyanyi dan artis Internasional
Q76127,Presiden pertama Republik Indonesia
Q3318231,presiden ke-7 Indonesia
Q44819,Presiden ke-2 Republik Indonesia dari 1967 hingga 1998
Q76179,Presiden ke-5 dan Wakil Presiden ke-8 Republik Indonesia
Q57405,Presiden ke-6 Republik Indonesia dari 2004 sampai 2014
Q189488,dosen
Q76167,Presiden ke-4 Republik Indonesia dari 1999 hingga 2001
Q76156,presiden ke-3 dan wakil presiden ke-7 Indonesia
Q326935,penulis Indonesia
Q29050,Wakil Presiden Republik Indonesia ke-1
Q42297483,ilmuwan Jepang
Q315689,Uruguayan footballer
Q232400,Dutch writer (1918-2011)
Q981543,pembalap mobil Indonesia
Q559017,Pahlawan Revolusi Kemerdekaan
Q28481203,Qari' ternama Nasional & Internasional
Q76354,Wakil Presiden Indonesia ke-10 dan ke-12
Q3391654,pemeran perempuan asal Indonesia
Q660145,pemain bulu tangkis berkebangsaan Indonesia
Q1373764,pahlawan nasional Indonesia
Q606577,pemeran laki-laki asal Indonesia
Q66115,German actress (1887-1980)
Q3981632,Pahlawan Revolusi Kemerdekaan
Q558761,Pemain Bulutangkis Indonesia
Q369416,Dutch-Indonesian painter (1858–1928)
Q240527,Dutch-based actress of Indonesian descent
Q76297,Wakil Presiden Republik Indonesia ke-3
Q464589,pemain bulu tangkis Indonesia
Q468400,Pemain bulu tangkis Indonesia
Q468531,Dutch singer (1942-2018)
Q468407,Kardinal Katolik Roma
Q3177708,ekonom Indonesia
Q554549,Indonesian weightlifter
Q558979,Politisi Indonesia
Q468506,pemain bulu tangkis asal Indonesia
Q2350460,"pemeran laki-laki, pemeran pengganti, dan olahragawan pencak silat berkebangsaan Indonesia"
Q1375979,pelukis Indonesia
Q26710852,Orang tertua di Indonesia
Q17410409,Italian footballer
Q4264834,penyanyi dan pemeran perempuan asal Indonesia
Q12033409,penyanyi Indonesia
Q2107268,Menteri Pertahanan Indonesia ke-26
Q5388188,Menteri BUMN ke-9
Q58961,Dutch-American astronomer (1899–1994)
Q975434,pesepak bola Indonesia
Q561701,Pemain bulu tangkis Indonesia
Q291116,penyanyi Belanda
Q464583,petenis asal Indonesia
Q12497177,Ulama Islam dan Wakil Presiden Indonesia ke-13
Q538107,Kardinal Katolik Roma
Q256628,Dutch sprinter
Q18342668,Politikus dan diplomat asal Indonesia
Q813518,Dutch footballer and manager (1909-1982)
Q367575,dosen
Q1815982,pahlawan nasional Indonesia
