Q221310,Anggun C. Sasmi
Q1362169,Agnez Mo
Q76127,Soekarno
Q3318231,Joko Widodo
Q44819,Soeharto
Q76179,Megawati Soekarnoputri
Q57405,Susilo Bambang Yudhoyono
Q189488,Willem Einthoven
Q76167,Abdurrahman Wahid
Q76156,Bacharuddin Jusuf Habibie
Q326935,Pramoedya Ananta Toer
Q29050,Mohammad Hatta
Q42297483,Hary Gunarto
Q315689,Andrés Scotti
Q232400,Hella S. Haasse
Q981543,Rio Haryanto
Q559017,Chairil Anwar
Q28481203,Muammar Z.A.
Q76354,Muhammad Jusuf Kalla
Q3391654,Jessica Iskandar
Q660145,Taufik Hidayat
Q1373764,Kartini
Q606577,Olga Syahputra
Q66115,Lil Dagover
Q3981632,Amir Hamzah
Q558761,Markis Kido
Q369416,Jan Toorop
Q240527,Laura Gemser
Q76297,Adam Malik
Q464589,Susi Susanti
Q468400,Alan Budikusuma
Q468531,Anneke Grönloh
Q468407,Julius Darmaatmadja
Q3177708,Sri Mulyani Indrawati
Q554549,Eko Yuli Irawan
Q558979,D. N. Aidit
Q468506,Greysia Polii
Q2350460,Iko Uwais
Q1375979,Raden Saleh
Q26710852,Mbah Gotho
Q17410409,Emil Audero
Q4264834,Amara
Q12033409,Fatin Shidqia
Q2107268,Prabowo Subianto
Q5388188,Erick Thohir
Q58961,Willem Luyten
Q975434,Bambang Pamungkas
Q561701,Hendra Setiawan
Q291116,Sandra Reemer
Q464583,Yayuk Basuki
Q12497177,Ma'ruf Amin
Q538107,Ignatius Suharyo
Q256628,Xenia Stad-de Jong
Q18342668,Retno Marsudi
Q813518,Beb Bakhuys
Q367575,Adriaan Daniel Fokker
Q1815982,Ki Hadjar Dewantara
Q464630,Liliyana Natsir
Q317291,Abdul Haris Nasution
Q253983,Maria Kristin Yulianti
Q1401053,Abdoel Moeis
Q561682,Tan Malaka
Q3701615,Basuki Tjahaja Purnama
Q50797,Taco
Q265153,Mia Audina
Q3347367,Julia Perez
Q2470857,Sutan Syahrir
Q3459336,Joe Taslim
Q118629,Agus Salim
Q76362,Boediono
Q584761,Angelique Widjaja
Q22958340,Sri Wahyuni Agustiani
Q27267034,Rich Brian
Q658330,Arie de Jong
Q732135,Chrisye
Q104560457,Defri Juliant
Q3363540,Parameswara
Q506333,Tontowi Ahmad
Q712489,Henk Badings
Q1318953,Ayu Utami
Q16724324,Anthony Sinisuka Ginting
Q76227,Hamengkubuwana IX
Q2183970,Cut Nyak Dhien
Q468519,Fatmawati
Q571426,Johan Hendrik Caspar Kern
Q2669342,Hamengkubuwana X
Q97193011,Windy Cantika Aisah
Q2321261,Eka Kurniawan
Q2735641,Rhoma Irama
Q23723804,Apriyani Rahayu
Q12856730,Jung Joon-young
Q364683,Adolph van der Voort van Zijp
Q2669326,Ali Sastroamidjojo
Q17411488,Susi Pudjiastuti
Q640195,Ardy Wiranata
Q1144049,Wage Rudolf Soepratman
Q185282,Muhammad Ahsan
Q454488,Lien Gisolf
Q2570788,Mochtar Lubis
Q731979,Nova Widianto
Q58290,Marty Natalegawa
Q4131328,Rossa
Q290581,Xaviera Hollander
Q731914,Sony Dwi Kuncoro
Q1392969,I Gusti Ngurah Rai
Q4263230,Anies Baswedan
Q2327343,Mohammad Natsir
Q1810083,Amir Sjarifoeddin
Q68582,Ilse Werner
Q738677,Chris John
Q3089681,Usmar Ismail
Q1051041,Nh. Dini
Q334810,Abu Bakar Ba'asyir
Q2367329,Jenderal Soedirman
Q1393679,Hendrawan
Q4263053,Yuki Kato
Q441699,Tania Gunadi
Q719320,Tony Gunawan
Q2007313,Jan Just Bos
Q2145886,Rudy Hartono
Q732000,Candra Wijaya
Q7475947,Syahrini
Q97192066,Rahmat Erwin Abdullah
Q920361,Dik Esser
Q1229813,Rexy Mainaky
Q1771129,Sultan Agung dari Mataram
Q2605467,Adrianus de Jong
Q1334387,Vasily Pavlovich Rochev
Q375774,Iskandar Muda dari Aceh
Q431353,Triyatno
Q591530,Musdah Mulia
Q680490,Ruurd Leegstra
Q936816,Gita Gutawa
Q957483,Ali Alatas
Q1350057,Utut Adianto
Q1413862,Corrie Laddé
Q3040291,Nurfitriyana Saiman
Q3237077,Bunga Citra Lestari
Q3502322,Mari Elka Pangestu
Q2058688,Frans Alfred Meeng
Q7441028,Sean Gelael
Q1341683,Eng Hian
Q2046283,Sapardi Djoko Damono
Q4917827,Krisdayanti
Q3940192,Rohit Chand
Q2670453,Djoeanda Kartawidjaja
Q489213,Edu Snethlage
Q1335187,Justinus Darmojuwono
Q19974584,Lukman Niode
Q1347236,Jan Gualtherus van Breda Kolff
Q77996,Friedrich Carl Andreas
Q457756,Raema Lisa Rumbewas
Q1049695,Tia Tanaka
Q2128765,Ismail Marzuki
Q15990566,Aleta Baun
Q81199676,Reynhard Sinaga
Q176412,Gesang
Q425634,Wynne Prakusya
Q2067820,W. S. Rendra
Q4201169,Tien Soeharto
Q5645435,Prof. Dr. Hamka
Q3503054,Mohammad Yamin
Q1966045,Christine Marie Berkhout
Q961856,Ricky Subagja
Q2042915,André Boerstra
Q5262511,Sherina Munaf
