Q221310,Anggun C. Sasmi,penyanyi-penulis lagu Indonesia-Prancis
Q1362169,Agnez Mo,penyanyi dan artis Internasional
Q76127,Soekarno,Presiden pertama Republik Indonesia
Q3318231,Joko Widodo,presiden ke-7 Indonesia
Q44819,Soeharto,Presiden ke-2 Republik Indonesia dari 1967 hingga 1998
Q76179,Megawati Soekarnoputri,Presiden ke-5 dan Wakil Presiden ke-8 Republik Indonesia
Q57405,Susilo Bambang Yudhoyono,Presiden ke-6 Republik Indonesia dari 2004 sampai 2014
Q189488,Willem Einthoven,dosen
Q76167,Abdurrahman Wahid,Presiden ke-4 Republik Indonesia dari 1999 hingga 2001
Q76156,Bacharuddin Jusuf Habibie,presiden ke-3 dan wakil presiden ke-7 Indonesia
Q326935,Pramoedya Ananta Toer,penulis Indonesia
Q29050,Mohammad Hatta,Wakil Presiden Republik Indonesia ke-1
Q42297483,Hary Gunarto,ilmuwan Jepang
Q315689,Andrés Scotti,Uruguayan footballer
Q232400,Hella S. Haasse,Dutch writer (1918-2011)
Q981543,Rio Haryanto,pembalap mobil Indonesia
Q559017,Chairil Anwar,Pahlawan Revolusi Kemerdekaan
Q28481203,Muammar Z.A.,Qari' ternama Nasional & Internasional
Q76354,Muhammad Jusuf Kalla,Wakil Presiden Indonesia ke-10 dan ke-12
Q3391654,Jessica Iskandar,pemeran perempuan asal Indonesia
Q660145,Taufik Hidayat,pemain bulu tangkis berkebangsaan Indonesia
Q1373764,Kartini,pahlawan nasional Indonesia
Q606577,Olga Syahputra,pemeran laki-laki asal Indonesia
Q66115,Lil Dagover,German actress (1887-1980)
Q3981632,Amir Hamzah,Pahlawan Revolusi Kemerdekaan
Q558761,Markis Kido,Pemain Bulutangkis Indonesia
Q369416,Jan Toorop,Dutch-Indonesian painter (1858–1928)
Q240527,Laura Gemser,Dutch-based actress of Indonesian descent
Q76297,Adam Malik,Wakil Presiden Republik Indonesia ke-3
Q464589,Susi Susanti,pemain bulu tangkis Indonesia
Q468400,Alan Budikusuma,Pemain bulu tangkis Indonesia
Q468531,Anneke Grönloh,Dutch singer (1942-2018)
Q468407,Julius Darmaatmadja,Kardinal Katolik Roma
Q3177708,Sri Mulyani Indrawati,ekonom Indonesia
Q554549,Eko Yuli Irawan,Indonesian weightlifter
Q558979,D. N. Aidit,Politisi Indonesia
Q468506,Greysia Polii,pemain bulu tangkis asal Indonesia
Q2350460,Iko Uwais,"pemeran laki-laki, pemeran pengganti, dan olahragawan pencak silat berkebangsaan Indonesia"
Q1375979,Raden Saleh,pelukis Indonesia
Q26710852,Mbah Gotho,Orang tertua di Indonesia
Q17410409,Emil Audero,Italian footballer
Q4264834,Amara,penyanyi dan pemeran perempuan asal Indonesia
Q12033409,Fatin Shidqia,penyanyi Indonesia
