item,itemLabel
http://www.wikidata.org/entity/Q1026,Bangsa Polandia
http://www.wikidata.org/entity/Q4320,Archi people
http://www.wikidata.org/entity/Q8060,Orang Rom
http://www.wikidata.org/entity/Q12223,Orang Kurdi
http://www.wikidata.org/entity/Q12542,Aztek
http://www.wikidata.org/entity/Q13685,Siddi
http://www.wikidata.org/entity/Q15763,Adighe
http://www.wikidata.org/entity/Q15863,Slovenes
http://www.wikidata.org/entity/Q17161,Etruskan
http://www.wikidata.org/entity/Q18973,Orang Georgia
http://www.wikidata.org/entity/Q19109,Orang Montenegro
http://www.wikidata.org/entity/Q20828,Chetco people
http://www.wikidata.org/entity/Q22633,Orang-orang Jermanik
http://www.wikidata.org/entity/Q23693,Visigoth
http://www.wikidata.org/entity/Q25068,Kirati people
http://www.wikidata.org/entity/Q26235,Chahar Mongols
http://www.wikidata.org/entity/Q26264,Xion
http://www.wikidata.org/entity/Q26291,Orang Adjaria
http://www.wikidata.org/entity/Q26404,Gaetuli
http://www.wikidata.org/entity/Q26576,Hun Putih
http://www.wikidata.org/entity/Q26774,Shoshoni
http://www.wikidata.org/entity/Q26862,Hän people
http://www.wikidata.org/entity/Q27877,Coquille people
http://www.wikidata.org/entity/Q31230,Suku Chechen
http://www.wikidata.org/entity/Q31415,Orang Republik Tiongkok Luar Negeri
http://www.wikidata.org/entity/Q32017,Guarani-Kaiowá
http://www.wikidata.org/entity/Q32706,Dioula
http://www.wikidata.org/entity/Q32739,Drevliany
http://www.wikidata.org/entity/Q32768,Anglo-Saxon
http://www.wikidata.org/entity/Q32799,Dregovichs
http://www.wikidata.org/entity/Q33543,Mordvin
http://www.wikidata.org/entity/Q33938,Suku Hausa
http://www.wikidata.org/entity/Q34069,Yahudi Ashkenazi
http://www.wikidata.org/entity/Q34188,Yanomamo
http://www.wikidata.org/entity/Q34283,Yugur
http://www.wikidata.org/entity/Q34344,Yurok people
http://www.wikidata.org/entity/Q35323,Arab
http://www.wikidata.org/entity/Q35533,Kaingang
http://www.wikidata.org/entity/Q35565,Bangsa Tatar
http://www.wikidata.org/entity/Q36411,Shipibo-Conibo people
http://www.wikidata.org/entity/Q36550,Tahltan people
http://www.wikidata.org/entity/Q36692,Suku Zhuang
http://www.wikidata.org/entity/Q36747,masyarakat pribumi Amerika
http://www.wikidata.org/entity/Q36978,Pemon
