item,itemLabel,itemDescription,sitelinks
http://www.wikidata.org/entity/Q221310,Anggun C. Sasmi,penyanyi-penulis lagu Indonesia-Prancis,147
http://www.wikidata.org/entity/Q1362169,Agnez Mo,penyanyi dan artis Internasional,147
http://www.wikidata.org/entity/Q76127,Soekarno,Presiden pertama Republik Indonesia,109
http://www.wikidata.org/entity/Q3318231,Joko Widodo,presiden ke-7 Indonesia,105
http://www.wikidata.org/entity/Q44819,Soeharto,Presiden ke-2 Republik Indonesia dari 1967 hingga 1998,102
http://www.wikidata.org/entity/Q76179,Megawati Soekarnoputri,Presiden ke-5 dan Wakil Presiden ke-8 Republik Indonesia,80
http://www.wikidata.org/entity/Q57405,Susilo Bambang Yudhoyono,Presiden ke-6 Republik Indonesia dari 2004 sampai 2014,79
http://www.wikidata.org/entity/Q189488,Willem Einthoven,dosen,71
http://www.wikidata.org/entity/Q76167,Abdurrahman Wahid,Presiden ke-4 Republik Indonesia dari 1999 hingga 2001,64
http://www.wikidata.org/entity/Q76156,Bacharuddin Jusuf Habibie,presiden ke-3 dan wakil presiden ke-7 Indonesia,64
http://www.wikidata.org/entity/Q326935,Pramoedya Ananta Toer,penulis Indonesia,40
http://www.wikidata.org/entity/Q29050,Mohammad Hatta,Wakil Presiden Republik Indonesia ke-1,38
http://www.wikidata.org/entity/Q42297483,Hary Gunarto,ilmuwan Jepang,37
http://www.wikidata.org/entity/Q315689,Andrés Scotti,Uruguayan footballer,34
http://www.wikidata.org/entity/Q232400,Hella S. Haasse,Dutch writer (1918-2011),32
http://www.wikidata.org/entity/Q981543,Rio Haryanto,pembalap mobil Indonesia,32
http://www.wikidata.org/entity/Q559017,Chairil Anwar,Pahlawan Revolusi Kemerdekaan,31
http://www.wikidata.org/entity/Q28481203,Muammar Z.A.,Qari' ternama Nasional & Internasional,31
http://www.wikidata.org/entity/Q76354,Muhammad Jusuf Kalla,Wakil Presiden Indonesia ke-10 dan ke-12,30
http://www.wikidata.org/entity/Q3391654,Jessica Iskandar,pemeran perempuan asal Indonesia,29
http://www.wikidata.org/entity/Q660145,Taufik Hidayat,pemain bulu tangkis berkebangsaan Indonesia,29
http://www.wikidata.org/entity/Q1373764,Kartini,pahlawan nasional Indonesia,29
http://www.wikidata.org/entity/Q606577,Olga Syahputra,pemeran laki-laki asal Indonesia,28
http://www.wikidata.org/entity/Q66115,Lil Dagover,German actress (1887-1980),28
http://www.wikidata.org/entity/Q3981632,Amir Hamzah,Pahlawan Revolusi Kemerdekaan,27
http://www.wikidata.org/entity/Q558761,Markis Kido,Pemain Bulutangkis Indonesia,27
http://www.wikidata.org/entity/Q369416,Jan Toorop,Dutch-Indonesian painter (1858–1928),27
http://www.wikidata.org/entity/Q240527,Laura Gemser,Dutch-based actress of Indonesian descent,27
http://www.wikidata.org/entity/Q76297,Adam Malik,Wakil Presiden Republik Indonesia ke-3,26
http://www.wikidata.org/entity/Q464589,Susi Susanti,pemain bulu tangkis Indonesia,26
http://www.wikidata.org/entity/Q468400,Alan Budikusuma,Pemain bulu tangkis Indonesia,25
http://www.wikidata.org/entity/Q468531,Anneke Grönloh,Dutch singer (1942-2018),25
http://www.wikidata.org/entity/Q468407,Julius Darmaatmadja,Kardinal Katolik Roma,25
http://www.wikidata.org/entity/Q3177708,Sri Mulyani Indrawati,ekonom Indonesia,24
http://www.wikidata.org/entity/Q554549,Eko Yuli Irawan,Indonesian weightlifter,24
http://www.wikidata.org/entity/Q558979,D. N. Aidit,Politisi Indonesia,24
http://www.wikidata.org/entity/Q468506,Greysia Polii,pemain bulu tangkis asal Indonesia,24
http://www.wikidata.org/entity/Q2350460,Iko Uwais,"pemeran laki-laki, pemeran pengganti, dan olahragawan pencak silat berkebangsaan Indonesia",24
http://www.wikidata.org/entity/Q1375979,Raden Saleh,pelukis Indonesia,24
http://www.wikidata.org/entity/Q26710852,Mbah Gotho,Orang tertua di Indonesia,24
http://www.wikidata.org/entity/Q17410409,Emil Audero,Italian footballer,23
http://www.wikidata.org/entity/Q4264834,Amara,penyanyi dan pemeran perempuan asal Indonesia,23
http://www.wikidata.org/entity/Q12033409,Fatin Shidqia,penyanyi Indonesia,22
http://www.wikidata.org/entity/Q2107268,Prabowo Subianto,Menteri Pertahanan Indonesia ke-26,22
http://www.wikidata.org/entity/Q5388188,Erick Thohir,Menteri BUMN ke-9,22
http://www.wikidata.org/entity/Q58961,Willem Luyten,Dutch-American astronomer (1899–1994),22
http://www.wikidata.org/entity/Q975434,Bambang Pamungkas,pesepak bola Indonesia,22
http://www.wikidata.org/entity/Q561701,Hendra Setiawan,Pemain bulu tangkis Indonesia,22
http://www.wikidata.org/entity/Q291116,Sandra Reemer,penyanyi Belanda,22
http://www.wikidata.org/entity/Q464583,Yayuk Basuki,petenis asal Indonesia,22
http://www.wikidata.org/entity/Q12497177,Ma'ruf Amin,Ulama Islam dan Wakil Presiden Indonesia ke-13,22
http://www.wikidata.org/entity/Q538107,Ignatius Suharyo,Kardinal Katolik Roma,22
http://www.wikidata.org/entity/Q256628,Xenia Stad-de Jong,Dutch sprinter,21
http://www.wikidata.org/entity/Q18342668,Retno Marsudi,Politikus dan diplomat asal Indonesia,21
http://www.wikidata.org/entity/Q813518,Beb Bakhuys,Dutch footballer and manager (1909-1982),21
http://www.wikidata.org/entity/Q367575,Adriaan Daniel Fokker,dosen,21
http://www.wikidata.org/entity/Q1815982,Ki Hadjar Dewantara,pahlawan nasional Indonesia,21
http://www.wikidata.org/entity/Q464630,Liliyana Natsir,pemain bulu tangkis asal Indonesia,21
http://www.wikidata.org/entity/Q317291,Abdul Haris Nasution,pahlawan nasional Indonesia,21
http://www.wikidata.org/entity/Q253983,Maria Kristin Yulianti,pemain badminton asal Indonesia,21
http://www.wikidata.org/entity/Q1401053,Abdoel Moeis,Pahlawan Revolusi Kemerdekaan,21
http://www.wikidata.org/entity/Q561682,Tan Malaka,pahlawan nasional Indonesia,21
http://www.wikidata.org/entity/Q3701615,Basuki Tjahaja Purnama,"Mantan Gubernur DKI Jakarta, Wakil Gubernur DKI Jakarta",20
http://www.wikidata.org/entity/Q50797,Taco,Dutch singer,20
http://www.wikidata.org/entity/Q265153,Mia Audina,pemain bulu tangkis asal Indonesia,20
http://www.wikidata.org/entity/Q3347367,Julia Perez,pemeran perempuan asal Indonesia,20
http://www.wikidata.org/entity/Q2470857,Sutan Syahrir,pahlawan nasional Indonesia,20
http://www.wikidata.org/entity/Q3459336,Joe Taslim,"aktor, model dan penyanyi Indonesia",20
http://www.wikidata.org/entity/Q118629,Agus Salim,pahlawan nasional Indonesia,20
http://www.wikidata.org/entity/Q76362,Boediono,Wakil Presiden Indonesia ke-11,20
http://www.wikidata.org/entity/Q584761,Angelique Widjaja,petenis profesional asal Indonesia.,20
http://www.wikidata.org/entity/Q22958340,Sri Wahyuni Agustiani,Atlet Angkat Besi,20
http://www.wikidata.org/entity/Q27267034,Rich Brian,Rapper Indonesia,19
http://www.wikidata.org/entity/Q658330,Arie de Jong,volapükist from the Netherlands (1865-1957),19
http://www.wikidata.org/entity/Q732135,Chrisye,penyanyi dan penulis lagu Indonesia,19
http://www.wikidata.org/entity/Q104560457,Defri Juliant,penyanyi Indonesia,19
http://www.wikidata.org/entity/Q3363540,Parameswara,Sumatran man who built the Malacca Sultanate,19
http://www.wikidata.org/entity/Q506333,Tontowi Ahmad,pemain bulu tangkis Indonesia,19
http://www.wikidata.org/entity/Q712489,Henk Badings,Dutch composer born in Java,19
http://www.wikidata.org/entity/Q1318953,Ayu Utami,"aktivis jurnalis, sastrawan, dan penulis berkebangsaan Indonesia.",19
http://www.wikidata.org/entity/Q16724324,Anthony Sinisuka Ginting,pemain bulu tangkis Indonesia,19
http://www.wikidata.org/entity/Q76227,Hamengkubuwana IX,pahlawan nasional Indonesia,19
http://www.wikidata.org/entity/Q2183970,Cut Nyak Dhien,pahlawan nasional Indonesia,18
http://www.wikidata.org/entity/Q468519,Fatmawati,pahlawan nasional Indonesia,18
http://www.wikidata.org/entity/Q571426,Johan Hendrik Caspar Kern,Dutch linguist and orientalist,18
http://www.wikidata.org/entity/Q2669342,Hamengkubuwana X,sultan ke-10 Yogyakarta dan Gubernur Daerah Istimewa Yogyakarta ke-3,18
http://www.wikidata.org/entity/Q97193011,Windy Cantika Aisah,atlet angkat besi asal Indonesia,18
http://www.wikidata.org/entity/Q2321261,Eka Kurniawan,Penulis Indonesia,18
http://www.wikidata.org/entity/Q2735641,Rhoma Irama,musisi dan pemeran laki-laki asal Indonesia,18
http://www.wikidata.org/entity/Q23723804,Apriyani Rahayu,pemain bulu tangkis asal Indonesia,18
http://www.wikidata.org/entity/Q12856730,Jung Joon-young,South Korean singer-songwriter,17
http://www.wikidata.org/entity/Q364683,Adolph van der Voort van Zijp,Dutch equestrian (1892-1978),17
http://www.wikidata.org/entity/Q2669326,Ali Sastroamidjojo,Pahlawan Revolusi Kemerdekaan,17
http://www.wikidata.org/entity/Q17411488,Susi Pudjiastuti,Mantan Menteri Kelautan dan Perikanan RI,17
http://www.wikidata.org/entity/Q640195,Ardy Wiranata,Pebulu tangkis Indonesia,17
http://www.wikidata.org/entity/Q1144049,Wage Rudolf Soepratman,violinis dan komponis Indonesia,17
http://www.wikidata.org/entity/Q185282,Muhammad Ahsan,pemain bulu tangkis asal Indonesia,17
http://www.wikidata.org/entity/Q454488,Lien Gisolf,Dutch athlete,17
http://www.wikidata.org/entity/Q2570788,Mochtar Lubis,pengarang Indonesia,17
http://www.wikidata.org/entity/Q731979,Nova Widianto,badminton player,17
http://www.wikidata.org/entity/Q58290,Marty Natalegawa,Menteri Luar Negeri Indonesia ke-17,17
http://www.wikidata.org/entity/Q4131328,Rossa,penyanyi Indonesia,17
http://www.wikidata.org/entity/Q290581,Xaviera Hollander,Dutch prostitute,17
http://www.wikidata.org/entity/Q731914,Sony Dwi Kuncoro,Indonesian badminton player,17
http://www.wikidata.org/entity/Q1392969,I Gusti Ngurah Rai,pahlawan nasional Indonesia,17
http://www.wikidata.org/entity/Q4263230,Anies Baswedan,Gubernur Daerah Khusus Ibukota Jakarta dari 2017 sampai sekarang,17
http://www.wikidata.org/entity/Q2327343,Mohammad Natsir,pahlawan nasional Indonesia,17
http://www.wikidata.org/entity/Q1810083,Amir Sjarifoeddin,pahlawan nasional Indonesia,16
http://www.wikidata.org/entity/Q68582,Ilse Werner,German actress (1921-2005),16
