city,cityLabel,population,country,countryLabel,loc
http://www.wikidata.org/entity/Q1353,Delhi,26495000,http://www.wikidata.org/entity/Q668,India,Point(77.216666666 28.666666666)
http://www.wikidata.org/entity/Q8686,Shanghai,24870895,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(121.466666666 31.166666666)
http://www.wikidata.org/entity/Q1354,Dhaka,16800000,http://www.wikidata.org/entity/Q902,Bangladesh,Point(90.394444444 23.728888888)
http://www.wikidata.org/entity/Q406,Istanbul,15462452,http://www.wikidata.org/entity/Q43,Turkey,Point(28.960277777 41.01)
http://www.wikidata.org/entity/Q8660,Karachi,14910352,http://www.wikidata.org/entity/Q843,Pakistan,Point(67.01 24.86)
http://www.wikidata.org/entity/Q8673,Lagos,14862000,http://www.wikidata.org/entity/Q1033,Nigeria,Point(3.4 6.45)
http://www.wikidata.org/entity/Q1490,Tokyo,14047594,http://www.wikidata.org/entity/Q17,Japan,Point(139.691722222 35.689555555)
http://www.wikidata.org/entity/Q649,Moscow,12455682,http://www.wikidata.org/entity/Q159,Russia,Point(37.617777777 55.755833333)
http://www.wikidata.org/entity/Q174,São Paulo,12325232,http://www.wikidata.org/entity/Q155,Brazil,Point(-46.633947222 -23.550394444)
http://www.wikidata.org/entity/Q3838,Kinshasa,11855000,http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,Point(15.313888888 -4.331666666)
http://www.wikidata.org/entity/Q3630,Jakarta,10562088,http://www.wikidata.org/entity/Q252,Indonesia,Point(106.8275 -6.175)
http://www.wikidata.org/entity/Q1854,Ho Chi Minh City,10380000,http://www.wikidata.org/entity/Q881,Vietnam,Point(106.701944444 10.775555555)
http://www.wikidata.org/entity/Q2868,Lima,9674755,http://www.wikidata.org/entity/Q419,Peru,Point(-77.0375 -12.06)
http://www.wikidata.org/entity/Q8684,Seoul,9668465,http://www.wikidata.org/entity/Q884,South Korea,Point(126.99 37.56)
http://www.wikidata.org/entity/Q85,Cairo,9293612,http://www.wikidata.org/entity/Q79,Egypt,Point(31.235833333 30.044444444)
http://www.wikidata.org/entity/Q1489,Mexico City,8918653,http://www.wikidata.org/entity/Q96,Mexico,Point(-99.145555555 19.419444444)
http://www.wikidata.org/entity/Q84,London,8908081,http://www.wikidata.org/entity/Q145,United Kingdom,Point(-0.1275 51.507222222)
http://www.wikidata.org/entity/Q60,New York City,8804190,http://www.wikidata.org/entity/Q30,United States of America,Point(-74.0 40.7)
http://www.wikidata.org/entity/Q3616,Tehran,8693706,http://www.wikidata.org/entity/Q794,Iran,Point(51.416666666 35.7)
http://www.wikidata.org/entity/Q3692,Riyadh,8002100,http://www.wikidata.org/entity/Q851,Saudi Arabia,Point(46.71 24.65)
http://www.wikidata.org/entity/Q404817,Shangqiu,7816831,http://www.wikidata.org/entity/Q1065073,Song,Point(115.64673 34.42592)
http://www.wikidata.org/entity/Q2841,Bogotá,7743955,http://www.wikidata.org/entity/Q739,Colombia,Point(-74.08175 4.60971)
http://www.wikidata.org/entity/Q1530,Baghdad,6960000,http://www.wikidata.org/entity/Q796,Iraq,Point(44.366111111 33.315277777)
http://www.wikidata.org/entity/Q144663,Hengyang,6645243,http://www.wikidata.org/entity/Q8733,Qing dynasty,Point(112.58568 26.89676)
http://www.wikidata.org/entity/Q2887,Santiago,6257516,http://www.wikidata.org/entity/Q298,Chile,Point(-70.666666666 -33.45)
http://www.wikidata.org/entity/Q334,Singapore,5866139,http://www.wikidata.org/entity/Q334,Singapore,Point(103.8 1.3)
http://www.wikidata.org/entity/Q1861,Bangkok,5676648,http://www.wikidata.org/entity/Q869,Thailand,Point(100.516666666 13.75)
http://www.wikidata.org/entity/Q3870,Nairobi,5545000,http://www.wikidata.org/entity/Q114,Kenya,Point(36.817222222 -1.286388888)
http://www.wikidata.org/entity/Q37995,Yangon,5430000,http://www.wikidata.org/entity/Q836,Myanmar,Point(96.16 16.795)
http://www.wikidata.org/entity/Q1963,Khartoum,5345000,http://www.wikidata.org/entity/Q1049,Sudan,Point(32.52654 15.60308)
http://www.wikidata.org/entity/Q1515,Abidjan,4980000,http://www.wikidata.org/entity/Q1008,Ivory Coast,Point(-4.026666666 5.336388888)
http://www.wikidata.org/entity/Q530171,Ajman,4900350,http://www.wikidata.org/entity/Q878,United Arab Emirates,Point(55.479722222 25.399444444)
http://www.wikidata.org/entity/Q3130,Sydney,4840600,http://www.wikidata.org/entity/Q408,Australia,Point(151.21 -33.867777777)
http://www.wikidata.org/entity/Q1960,Dar es Salaam,4715000,http://www.wikidata.org/entity/Q924,Tanzania,Point(39.280277777 -6.816111111)
http://www.wikidata.org/entity/Q34647,Johannesburg,4434827,http://www.wikidata.org/entity/Q258,South Africa,Point(28.041638888 -26.204361111)
http://www.wikidata.org/entity/Q244898,New Taipei,4364124,http://www.wikidata.org/entity/Q865,Taiwan,Point(121.445833 25.011111)
http://www.wikidata.org/entity/Q5838,Kabul,4273156,http://www.wikidata.org/entity/Q889,Afghanistan,Point(69.165833333 34.532777777)
http://www.wikidata.org/entity/Q3805,Amman,4007526,http://www.wikidata.org/entity/Q810,Jordan,Point(35.933333333 31.95)
http://www.wikidata.org/entity/Q64,Berlin,3664088,http://www.wikidata.org/entity/Q183,Germany,Point(13.383333333 52.516666666)
http://www.wikidata.org/entity/Q7903,Casablanca,3499000,http://www.wikidata.org/entity/Q1028,Morocco,Point(-7.62 33.599166666)
http://www.wikidata.org/entity/Q3561,Algiers,3415811,http://www.wikidata.org/entity/Q262,Algeria,Point(3.058611111 36.776388888)
http://www.wikidata.org/entity/Q2807,Madrid,3305408,http://www.wikidata.org/entity/Q29,Spain,Point(-3.7025 40.416666666)
http://www.wikidata.org/entity/Q170688,Santa Cruz de la Sierra,3151676,http://www.wikidata.org/entity/Q750,Bolivia,Point(-63.1975 -17.789166666)
http://www.wikidata.org/entity/Q1486,Buenos Aires,3063728,http://www.wikidata.org/entity/Q414,Argentina,Point(-58.381944444 -34.599722222)
http://www.wikidata.org/entity/Q3624,Addis Ababa,3041002,http://www.wikidata.org/entity/Q115,Ethiopia,Point(38.736944444 9.027222222)
http://www.wikidata.org/entity/Q35178,Kuwait City,2989000,http://www.wikidata.org/entity/Q817,Kuwait,Point(47.98 29.375)
http://www.wikidata.org/entity/Q1899,Kyiv,2963199,http://www.wikidata.org/entity/Q212,Ukraine,Point(30.523611111 50.45)
http://www.wikidata.org/entity/Q1475,Quezon City,2960048,http://www.wikidata.org/entity/Q928,Philippines,Point(121.033333333 14.633333333)
http://www.wikidata.org/entity/Q2471,Sanaa,2957000,http://www.wikidata.org/entity/Q805,Yemen,Point(44.2 15.35)
