event,eventLabel,date
http://www.wikidata.org/entity/Q114237187,Q114237187,2022-09-26T00:00:00Z
http://www.wikidata.org/entity/Q111333180,Grand Prix F1 Jepang 2022,2022-10-07T00:00:00Z
http://www.wikidata.org/entity/Q114500533,Second Battle of Kreminna,2022-10-02T00:00:00Z
http://www.wikidata.org/entity/Q114350880,Second Battle of Lyman,2022-09-10T00:00:00Z
http://www.wikidata.org/entity/Q112063818,Mark Wallinger,2022-09-18T00:00:00Z
http://www.wikidata.org/entity/Q113574275,Wiki Loves EuroPride 2022,2022-09-12T00:00:00Z
http://www.wikidata.org/entity/Q114496415,Q114496415,2022-10-07T00:00:00Z
http://www.wikidata.org/entity/Q114257629,Q114257629,2022-09-28T00:00:00Z
http://www.wikidata.org/entity/Q52700,Extreme Rules,2022-10-08T00:00:00Z
http://www.wikidata.org/entity/Q114208909,field hockey at the 2022 South American Games,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q112233589,Liga de Inglaterra de Rugby 15 2022-23,2022-09-10T00:00:00Z
http://www.wikidata.org/entity/Q114036514,Kecelakaan bus Sandu 2022,2022-09-18T00:00:00Z
http://www.wikidata.org/entity/Q112079985,Connections - Danish artists from Ex-Yugoslavia,2022-09-17T00:00:00Z
http://www.wikidata.org/entity/Q113995073,Banjir Marche 2022,2022-09-16T00:00:00Z
http://www.wikidata.org/entity/Q114502905,Q114502905,2022-10-08T00:00:00Z
http://www.wikidata.org/entity/Q114295306,Q114295306,2022-09-24T00:00:00Z
http://www.wikidata.org/entity/Q114052430,2022 Western México earthquake,2022-09-19T00:00:00Z
http://www.wikidata.org/entity/Q114024810,gempa bumi Taitung 2022,2022-09-18T00:00:00Z
http://www.wikidata.org/entity/Q114024666,2022 Taitung earthquake,2022-09-17T00:00:00Z
http://www.wikidata.org/entity/Q113900838,Gempa bumi Papua Nugini 2022,2022-09-11T00:00:00Z
http://www.wikidata.org/entity/Q108330784,Modern Women | Modern Vision: Photography from the Bank of America Collection,2022-10-02T00:00:00Z
http://www.wikidata.org/entity/Q113955168,Inauguration of William Ruto,2022-09-13T00:00:00Z
http://www.wikidata.org/entity/Q113955168,Inauguration of William Ruto,2022-09-13T00:00:00Z
http://www.wikidata.org/entity/Q114514019,Q114514019,2022-10-08T00:00:00Z
http://www.wikidata.org/entity/Q114323885,September 2022 Kabul school bombing,2022-09-30T00:00:00Z
http://www.wikidata.org/entity/Q114232274,Ekenäs höstmarknad,2022-09-22T00:00:00Z
http://www.wikidata.org/entity/Q113997382,The Queue,2022-09-14T00:00:00Z
http://www.wikidata.org/entity/Q113955168,Inauguration of William Ruto,2022-09-13T00:00:00Z
http://www.wikidata.org/entity/Q113955168,Inauguration of William Ruto,2022-09-13T00:00:00Z
http://www.wikidata.org/entity/Q114455505,2022 Yushan Forum,2022-10-07T00:00:00Z
http://www.wikidata.org/entity/Q114190411,2022 Wiki-Conference,2022-09-24T00:00:00Z
http://www.wikidata.org/entity/Q114063353,GTC 2022,2022-09-19T00:00:00Z
http://www.wikidata.org/entity/Q113986853,International Operational Innovation Conference,2022-09-12T00:00:00Z
http://www.wikidata.org/entity/Q112842877,Tagung Digitale Bibliothek 2022,2022-09-22T00:00:00Z
http://www.wikidata.org/entity/Q114492886,2022 Crimean Bridge explosion,2022-10-08T00:00:00Z
http://www.wikidata.org/entity/Q113961931,Knowledge Graphs and their Role in the Knowledge Engineering of the 21st Century,2022-09-11T00:00:00Z
http://www.wikidata.org/entity/Q114164777,Q114164777,2022-09-23T00:00:00Z
http://www.wikidata.org/entity/Q114051466,death of Mahsa Amini,2022-09-16T00:00:00Z
http://www.wikidata.org/entity/Q114321255,Sep 2022 Lebanese banking sector strike,2022-09-19T00:00:00Z
http://www.wikidata.org/entity/Q114391585,2022 Bratislava car crash,2022-10-02T00:00:00Z
http://www.wikidata.org/entity/Q113849016,state funeral of Elizabeth II,2022-09-19T00:00:00Z
http://www.wikidata.org/entity/Q113130081,State Funeral of Shinzo Abe,2022-09-27T00:00:00Z
http://www.wikidata.org/entity/Q114100841,Code Expedition 2022,2022-09-30T00:00:00Z
http://www.wikidata.org/entity/Q113883746,CTC27 - Education,2022-09-10T00:00:00Z
http://www.wikidata.org/entity/Q114350394,Tragedi Stadion Kanjuruhan 2022,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q114096220,annexation of southeastern Ukraine,2022-09-30T00:00:00Z
http://www.wikidata.org/entity/Q113663069,The seventh plenary session of the 19th Central Committee of the Communist Party of China,2022-10-09T00:00:00Z
http://www.wikidata.org/entity/Q114245504,2022 Nord Stream gas leaks,2022-09-29T00:00:00Z
http://www.wikidata.org/entity/Q114245504,2022 Nord Stream gas leaks,2022-09-27T00:00:00Z
http://www.wikidata.org/entity/Q114245504,2022 Nord Stream gas leaks,2022-09-26T00:00:00Z
http://www.wikidata.org/entity/Q114080629,Aviv Kochavi visit to Poland,2022-09-19T00:00:00Z
http://www.wikidata.org/entity/Q114337907,Workshop on Recommenders in Tourism (RecTour 2022),2022-09-22T00:00:00Z
http://www.wikidata.org/entity/Q114281764,Stabilität in Zeiten des Wandels,2022-09-22T00:00:00Z
http://www.wikidata.org/entity/Q113960978,Nintendo Direct 13.09.2022,2022-09-14T00:00:00Z
http://www.wikidata.org/entity/Q113960942,"State of Play | September 13, 2022",2022-09-13T00:00:00Z
http://www.wikidata.org/entity/Q113886224,Ubisoft Forward 2022,2022-09-10T00:00:00Z
http://www.wikidata.org/entity/Q113960978,Nintendo Direct 13.09.2022,2022-09-13T00:00:00Z
http://www.wikidata.org/entity/Q114350394,Tragedi Stadion Kanjuruhan 2022,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q114350394,Tragedi Stadion Kanjuruhan 2022,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q114350394,Tragedi Stadion Kanjuruhan 2022,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q114564416,TwitchCon San Diego 2022,2022-10-07T00:00:00Z
http://www.wikidata.org/entity/Q114457645,Q114457645,2022-10-05T00:00:00Z
http://www.wikidata.org/entity/Q114455505,2022 Yushan Forum,2022-10-07T00:00:00Z
http://www.wikidata.org/entity/Q114347909,Prinsjesdag 2022,2022-09-20T00:00:00Z
http://www.wikidata.org/entity/Q114316140,Wiki Loves Monuments 2022 in Norway,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q114218800,Tag des Denkmals 2022,2022-09-25T00:00:00Z
http://www.wikidata.org/entity/Q114047066,Planetary Science Wiki Edit-a-thon 2022,2022-09-18T00:00:00Z
http://www.wikidata.org/entity/Q114043581,DrupalCon Prague 2022,2022-09-20T00:00:00Z
http://www.wikidata.org/entity/Q114043581,DrupalCon Prague 2022,2022-09-20T00:00:00Z
http://www.wikidata.org/entity/Q113456780,2022 League of Legends World Championship,2022-09-29T00:00:00Z
http://www.wikidata.org/entity/Q113456780,2022 League of Legends World Championship,2022-09-29T00:00:00Z
